year,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_total_goals,ht_total_goals,which_half_more_goals,both_teams_to_score
2006,Group,Croatia,Australia,2,2,1,1,4,2,same,yes
2006,Group,Ukraine,Tunisia,1,0,0,0,1,0,second,no
2006,Group,Saudi Arabia,Spain,0,1,0,1,1,1,first,no
2006,Group,Togo,France,0,2,0,0,2,0,second,no
2006,Group,Switzerland,Korea Republic,2,0,1,0,2,1,same,no
2006,Round of 16,Germany,Sweden,2,0,2,0,2,2,first,no
2006,Round of 16,Argentina,Mexico,2,1,0,0,3,0,second,yes
2006,Round of 16,England,Ecuador,1,0,0,0,1,0,second,no
2006,Round of 16,Portugal,Netherlands,1,0,1,0,1,1,first,no
2006,Round of 16,Italy,Australia,1,0,0,0,1,0,second,no
2006,Round of 16,Switzerland,Ukraine,0,0,0,0,0,0,same,no
2006,Round of 16,Brazil,Ghana,3,0,2,0,3,2,first,no
2006,Round of 16,Spain,France,1,3,1,1,4,2,same,yes
2006,Quarter-finals,Germany,Argentina,1,1,0,0,2,0,second,yes
2006,Quarter-finals,Italy,Ukraine,3,0,1,0,3,1,second,no
2006,Quarter-finals,England,Portugal,0,0,0,0,0,0,same,no
2006,Quarter-finals,Brazil,France,0,1,0,0,1,0,second,no
2006,Semi-finals,Germany,Italy,0,2,0,0,2,0,second,no
2006,Semi-finals,Portugal,France,0,1,0,1,1,1,first,no
2006,Third Place Play-off,Germany,Portugal,3,1,0,0,4,0,second,yes
2006,Final,Italy,France,1,1,0,0,2,0,second,yes
2010,Group,South Africa,Mexico,1,1,0,0,2,0,second,yes
2010,Group,Uruguay,France,0,0,0,0,0,0,same,no
2010,Group,Korea Republic,Greece,2,0,1,0,2,1,same,no
2010,Group,Argentina,Nigeria,1,0,1,0,1,1,first,no
2010,Group,England,USA,1,1,1,1,2,2,first,yes
2010,Group,Algeria,Slovenia,0,1,0,0,1,0,second,no
2010,Group,Serbia,Ghana,0,1,0,0,1,0,second,no
2010,Group,Germany,Australia,4,0,2,0,4,2,same,no
2010,Group,Netherlands,Denmark,2,0,0,0,2,0,second,no
2010,Group,Japan,Cameroon,1,0,1,0,1,1,first,no
2010,Group,Italy,Paraguay,1,1,0,1,2,1,same,yes
2010,Group,New Zealand,Slovakia,1,1,0,0,2,0,second,yes
2010,Group,C�te d'Ivoire,Portugal,0,0,0,0,0,0,same,no
2010,Group,Brazil,Korea DPR,2,1,0,0,3,0,second,yes
2010,Group,Honduras,Chile,0,1,0,1,1,1,first,no
2010,Group,Spain,Switzerland,0,1,0,0,1,0,second,no
2010,Group,South Africa,Uruguay,0,3,0,1,3,1,second,no
2010,Group,Argentina,Korea Republic,4,1,2,1,5,3,first,yes
2010,Group,Greece,Nigeria,2,1,1,1,3,2,first,yes
2010,Group,France,Mexico,0,2,0,0,2,0,second,no
2010,Group,Germany,Serbia,0,1,0,1,1,1,first,no
2010,Group,Slovenia,USA,2,2,2,0,4,2,same,yes
2010,Group,England,Algeria,0,0,0,0,0,0,same,no
2010,Group,Netherlands,Japan,1,0,0,0,1,0,second,no
2010,Group,Ghana,Australia,1,1,1,1,2,2,first,yes
2010,Group,Cameroon,Denmark,1,2,1,1,3,2,first,yes
2010,Group,Slovakia,Paraguay,0,2,0,1,2,1,same,no
2010,Group,Italy,New Zealand,1,1,1,1,2,2,first,yes
2010,Group,Brazil,C�te d'Ivoire,3,1,1,0,4,1,second,yes
2010,Group,Portugal,Korea DPR,7,0,1,0,7,1,second,no
